census_division,contacts_adj_mean_Democrat,contacts_adj_mean_Independent,contacts_adj_mean_Republican,mask_adj_mean_Democrat,mask_adj_mean_Independent,mask_adj_mean_Republican,contacts_gap_rd,mask_gap_dr
New England,4.872950919111822,5.959659145369162,5.79091490481993,68.36698284618129,61.16936014306353,59.5539692452745,0.9179639857081083,8.813013600906785
Middle Atlantic,5.131651090453695,4.97539375701932,6.331075074671279,69.62224341083648,63.769082711992056,61.38749844057599,1.1994239842175842,8.234744970260486
East North Central,4.812312884665586,4.762310690803068,6.980187146358505,65.1803990316317,44.453007601044234,53.61601347291414,2.167874261692919,11.564385558717554
West North Central,5.532187386543608,8.231037924041233,5.720357854570909,52.49892409946861,41.602322067825796,38.803346023030755,0.18817046802730086,13.695578076437855
South Atlantic,5.161681167064264,5.633576002666089,6.443017373393609,62.036208107672635,48.34888687109599,54.71068038286978,1.2813362063293443,7.325527724802853
East South Central,9.413867865849166,6.680898523527369,6.014938635661019,50.72688045007263,41.288809392727465,53.610860369202655,-3.3989292301881475,-2.8839799191300273
West South Central,4.929970862014512,5.738273034789951,6.771094630638685,67.85090061170156,44.20908872521995,48.24553911346997,1.8411237686241728,19.605361498231595
Mountain,4.722480159381623,4.894444190983546,6.231473765653214,60.96246651710153,54.44730174444405,47.27270739453848,1.5089936062715914,13.689759122563053
Pacific,4.637895838594837,5.237390657877008,6.430104662175425,71.9518086615902,62.05847868927951,58.85214694964047,1.7922088235805882,13.099661711949736
