policy,political_party,n,contacts_mean,contacts_se,mask_mean,mask_se
No Mandate,Republican,871,7.018413050464791,0.4384700230942115,45.41133929934192,1.834032455687233
No Mandate,Independent,611,6.67290663800486,0.7209428876758494,42.283133535615754,1.8869849340923184
No Mandate,Democrat,846,5.574189728338375,0.4160890856060524,54.015341198975115,1.8476055407880454
Less Strict,Republican,961,6.837907753327844,0.6357099850188412,60.3708519820867,1.830964708370679
Less Strict,Independent,767,4.814305532236591,0.3038826619885113,62.977861703896345,1.6297348853322327
Less Strict,Democrat,1913,5.81327879027712,0.31875308079923953,71.28923855601975,1.0665376825677206
Strict,Republican,3095,6.390829928066861,0.2612259181234054,56.09859782162636,0.9424403216919613
Strict,Independent,2667,5.712047031681037,0.24003996281103213,55.11444637570038,0.9695627184219483
Strict,Democrat,4671,5.131647076426356,0.14242721808256978,66.28703910480304,0.7139377333348965
