STATE,contacts_adj_mean_Democrat,contacts_adj_mean_Independent,contacts_adj_mean_Republican,mask_adj_mean_Democrat,mask_adj_mean_Independent,mask_adj_mean_Republican,contacts_gap_rd,mask_gap_dr
Alabama,14.89867843181457,7.8208306179296105,5.942748922966516,68.57454698763249,43.799037220455645,54.06033597761718,-8.955929508848055,14.514211010015309
Alaska,7.250232089421413,1.9346170789037629,5.617639457774457,52.53304747918547,34.15388261771522,27.995457834749608,-1.632592631646956,24.53758964443586
Arizona,4.884437061770591,4.98917846449581,6.234746843497675,61.32790409787489,54.35695213049337,50.75324444038375,1.3503097817270842,10.57465965749114
Arkansas,4.911624905760023,14.895633438800237,2.444247107659197,85.09124270562883,28.927627377613327,20.617908786474416,-2.4673777981008262,64.47333391915441
California,4.769682400936664,5.359150501910195,6.762561711789884,73.38036984802447,63.37749177640886,59.557994303561664,1.99287931085322,13.822375544462808
Colorado,4.729024213556637,4.691920276614482,8.901796912086176,48.85579725266779,49.50752573477973,37.40341193134463,4.172772698529539,11.452385321323163
Connecticut,3.8429086449903402,5.279103828350264,4.342283737535881,69.17251272097268,61.26044902577155,68.6648647249667,0.49937509254554113,0.5076479960059714
Delaware,3.7951786998331216,8.863781240068478,5.205352241586201,59.28428138653845,63.962729379602365,70.69687267344857,1.4101735417530796,-11.412591286910114
Florida,5.796248193008051,4.704020240819715,6.400470217449456,71.5726986538446,45.713823388697456,60.70262892648095,0.6042220244414054,10.87006972736365
Georgia,5.250456081791418,6.194206829392278,7.147090998848876,55.444448692245984,47.82882744747722,51.46866383744552,1.8966349170574581,3.975784854800466
Hawaii,4.995650185303024,3.443135168656451,3.278836043775247,84.74801410484415,31.749125823114166,98.86707930179898,-1.716814141527777,-14.119065196954836
Idaho,2.3165312416925588,4.507698351153117,4.177039259063127,69.57408060066425,55.39425324249168,17.438006209248314,1.8605080173705684,52.13607439141593
Illinois,4.313955595815467,6.471250947460582,6.542259937929453,69.03715239978328,45.87516123899527,62.1723550441544,2.2283043421139856,6.86479735562888
Indiana,5.47356973867393,5.159340647598529,6.183888510967586,62.51096002531239,45.389301173847166,57.38326224104829,0.7103187722936557,5.1276977842641
Iowa,5.779311424146378,14.149459530814594,7.253779655849996,34.621316446759785,21.123572316717677,60.78803224656134,1.474468231703618,-26.16671579980156
Kansas,7.383375216425164,10.706071612088554,5.562798772727327,78.08634278539253,58.337444671397954,31.152725764593043,-1.8205764436978367,46.93361702079949
Kentucky,6.759018827691683,5.815150672214481,5.67551381815993,42.91705125528804,32.085421390399915,46.52113714773263,-1.0835050095317538,-3.604085892444594
Louisiana,5.0332180999580505,6.908464377607723,6.317477660809423,56.77443862203595,23.410887172750574,54.22608811686787,1.284259560851373,2.548350505168081
Maine,17.536022279146735,7.056403120831996,3.2658315920136003,76.53270885951142,33.0933864570449,73.94170933430676,-14.270190687133134,2.5909995252046514
Maryland,4.160257232069012,3.2007083778143346,4.299299095936231,69.96678897579214,76.83001914308034,78.06800187567593,0.13904186386721928,-8.101212899883791
Massachusetts,4.949695591546186,5.845048983566398,6.235285168010126,67.56326618328573,62.155697877046336,58.30143768761951,1.2855895764639396,9.261828495666222
Michigan,4.005561830402741,6.299157638648676,10.243513962651816,62.44575897708608,54.05280725967718,41.45199013872874,6.237952132249075,20.99376883835734
Minnesota,6.316934690578641,4.551494400895328,3.1872881236035426,45.58132506638049,60.74743698231623,26.859531960417666,-3.1296465669750986,18.72179310596282
Mississippi,2.9753828605736836,4.029744938932396,3.591417838168134,66.97924098871489,40.31715110042462,69.83202658714718,0.6160349775944503,-2.852785598432291
Missouri,3.4481815477252966,5.0480883358307445,7.906073730936722,46.11390749610208,49.75880849725506,40.95016743631699,4.457892183211426,5.163740059785091
Montana,9.203902720446841,4.097651688582762,3.05808838345709,64.3272756480643,74.85704319319598,54.38175735694066,-6.145814336989751,9.94551829112364
Nebraska,6.695986437925447,4.093984797910498,3.3605060922870886,74.53262332557658,27.32141961753243,40.09781016401828,-3.335480345638358,34.4348131615583
Nevada,4.648471456456808,4.027216949433955,5.09941521857689,63.96172418851867,59.64871904389279,39.82844686356418,0.45094376212008225,24.13327732495449
New Hampshire,4.413097643515651,6.6846837048560275,6.06845081861502,70.18344599534082,58.99493130961707,61.92278447727413,1.6553531750993686,8.26066151806669
New Jersey,5.143412759974492,4.739041704288533,5.896979588254165,67.38959498974143,64.64634348055884,57.5413129312378,0.7535668282796735,9.848282058503628
New Mexico,3.123825853164377,6.349180751950714,4.154679937724353,60.12832470279452,63.7358524227741,16.146285779830183,1.030854084559976,43.982038922964335
New York,5.3684181237953705,4.8635990023018305,6.796272293255873,72.07321364223324,65.18627243029967,67.72696934612419,1.4278541694605025,4.346244296109049
North Carolina,4.199482537725054,5.238639760751111,4.132495114341555,57.82259862844212,37.34864254711715,46.917495772657276,-0.06698742338349906,10.905102855784847
North Dakota,2.091618110763875,6.491903051395774,2.570580821041615,53.96487395961209,52.68516568794067,79.75175178222375,0.47896271027773984,-25.786877822611658
Ohio,5.55863429627137,3.41359157088152,6.121262180197482,65.92662866904723,38.65554782896909,53.50146786452888,0.5626278839261118,12.425160804518356
Oklahoma,3.153839984460897,4.5686457201797825,5.142416018521942,62.82779556753526,43.2907680851318,38.764474571184365,1.9885760340610452,24.063320996350896
Oregon,3.0520598198825337,4.8711279125391,3.6804270035808138,49.07383031864491,73.03685933185254,51.815870954295605,0.62836718369828,-2.742040635650696
Pennsylvania,4.905102935293447,5.368264126737596,6.345495965557749,68.38407418027789,61.80572382752128,58.95748602494083,1.4403930302643015,9.426588155337065
Rhode Island,1.8309730627989806,5.330853426368712,2.1455650719717765,NA,72.46328824806896,NA,0.31459200917279584,NA
South Carolina,4.982960256287104,4.9892041168568895,5.855134417322104,76.61099649491752,36.05026676293601,62.47046087925555,0.8721741610349998,14.140535615661967
South Dakota,9.285413642346557,11.96324958505461,13.145079638228701,22.361327519176413,45.43509449562326,30.195554921555747,3.8596659958821444,-7.834227402379334
Tennessee,11.098499320948022,7.089082206163982,6.776071740608676,36.30395551463904,47.689655529046796,51.93846102280713,-4.322427580339347,-15.63450550816809
Texas,5.111480490041204,4.538316297520848,7.585701254898117,67.86869631142392,49.969571248786494,50.64109915390018,2.474220764856913,17.22759715752374
