wave,data_collected_dates,total_contacts_Democrat,total_contacts_Independent,total_contacts_Republican,mask_usage_Democrat,mask_usage_Independent,mask_usage_Republican,mean_mort_rate,log_mean_mort,mortality_level,contacts_gap,mask_gap
1,"April 11-May 5, '20",3.736571744210329,4.343604176042396,4.099432264301024,60.183550146332706,44.23323803294497,54.245261593870985,6.5762737765857935,0.970271157651737,High,0.3628605200906949,5.938288552461721
2,"June 18-24, '20",4.921465540128822,4.934673788088166,5.666762162519564,59.71300609582486,44.47690277339983,51.8067329195131,2.117830576722976,0.9087565610509719,High,0.7452966223907422,7.906273176311757
3,"September 12-20, '20'",5.185425025497805,6.040744835437421,8.642389479245196,69.7031340300024,66.56221752898873,64.69875070618323,1.4118742478005404,0.6926735919281646,Moderate,3.456964453747391,5.0043833238191695
4,"December 1-7, '20'",5.23057596194901,5.471367867371349,5.781550728514727,72.70623203009528,61.47049519544652,61.41718752589091,2.485192028418202,1.0040240024183467,High,0.5509747665657168,11.28904450420437
5,"February 9-14, '21'",5.639083625213773,4.84302281280415,5.952254798259448,72.29627720880117,64.46039020222574,57.62674326940427,7.261785247578946,1.8889716420705542,High,0.3131711730456752,14.6695339393969
6,"May 14-25, '21'",6.143649590781198,7.227527452082405,7.7076981914579195,59.8510463888017,46.67241228358878,45.14281348997474,1.4053288349504354,0.744592210677718,Moderate,1.5640486006767214,14.708232898826957
