Statistic,Unweighted,Original,Raked
Total Contacts (Rep),6.873844480696031,6.594539495687286,6.594539495687352
Total Contacts (Dem),5.539382097936256,5.344616086551418,5.344616086551459
Contact Gap (R-D),1.3344623827597744,1.2499234091358682,1.249923409135893
Mask Usage % (Rep),5757.868469773799,5477.218428694379,5477.218428694418
Mask Usage % (Dem),6837.0002365744085,6555.304926174493,6555.3049261745155
Mask Gap (R-D),-1079.1317668006095,-1078.0864974801134,-1078.086497480097
Vaccinated % (Rep),56.903765690376574,57.082495788995566,57.08249578899564
Vaccinated % (Dem),75.51569506726457,74.04659665348971,74.04659665348974
Vaccination Gap (R-D),-18.611929376888,-16.96410086449415,-16.964100864494107
