term,Estimate,Std. Error,t value,Pr(>|t|),model,ci_lower,ci_upper
political_partyIndependent,-0.32498893889683256,0.34499163522086684,-0.9420197643017392,0.34620687734640665,OLS 2+ non-HH contacts (weighted),-1.0011725439297314,0.3511946661360664
political_partyDemocrat,-1.2824457860738385,0.3070468762662236,-4.176710089575702,2.984435830843374e-5,OLS 2+ non-HH contacts (weighted),-1.884257663555637,-0.6806339085920402
