opposing_cd,political_party,n,contacts_mean,contacts_se,mask_mean,mask_se
Opposing-party CD,Democrat,2179,5.5588485535985415,0.25608141047343436,58.33165544733544,1.092505215139877
Opposing-party CD,Independent,4503,5.740009154186764,0.19893738980802114,53.71765854056922,0.7425704095577688
Opposing-party CD,Republican,3208,6.735239258298496,0.25518005170068564,60.535804587255114,0.9426330092439109
Same-party CD,Democrat,5954,5.242725837597597,0.13184752052152973,68.83141399097786,0.633803798689746
Same-party CD,Republican,2288,6.437640234649968,0.32288575352846877,48.14150923462397,1.1123158365943564
