census_region,political_party,vax_adj_mean,vax_adj_se
Northeast,Democrat,42.13712021994891,1.7539647816894384
Northeast,Independent,44.95862287923671,2.2024307912505194
Northeast,Republican,39.940520320954356,2.1717799708953307
Midwest,Democrat,32.01420530078591,3.1935000481480165
Midwest,Independent,28.843313268979987,4.27244889848067
Midwest,Republican,38.070130469550435,3.526793973857165
South,Democrat,40.05112579424468,1.9985893558374224
South,Independent,26.987574752358533,2.5104644493207755
South,Republican,28.461570783248636,2.1683798103027256
West,Democrat,44.689830948185666,2.0169565100842224
West,Independent,29.807383744852462,2.734163410544598
West,Republican,34.23536523049881,2.5632904656276163
