census_division,contacts_mean_Democrat,contacts_mean_Independent,contacts_mean_Republican,mask_mean_Democrat,mask_mean_Independent,mask_mean_Republican,contacts_gap_rd,mask_gap_dr
New England,5.106673074037911,6.200425024513697,6.144809828212527,67.79386701467763,60.050972072601255,58.48334822446112,1.0381367541746167,9.310518790216513
Middle Atlantic,5.402858034450691,5.188990495597436,6.5173268490439344,69.8484338981035,63.126537253097716,61.368963840420236,1.114468814593243,8.479470057683258
East North Central,5.030498445843813,4.905346583725727,7.298513937424299,63.35699594552455,42.68059200544815,52.10117226203414,2.2680154915804858,11.255823683490412
West North Central,5.933613105898392,8.575264138686578,6.030114574206754,51.156923388727094,40.93582734608309,35.34281791205965,0.0965014683083627,15.814105476667443
South Atlantic,5.385654699373274,5.890161062527589,6.658362778470724,61.704424796555,46.79534953731471,53.895781576459314,1.27270807909745,7.808643220095689
East South Central,9.568847733223356,6.911175710324288,6.26715723912038,48.406636809483885,37.65924655418527,52.9658248387886,-3.301690494102976,-4.559188029304714
West South Central,5.40353391066052,5.966430579572196,7.067634037702357,65.8210012000486,42.1272492905498,47.12788165543756,1.664100127041837,18.693119544611037
Mountain,4.992170045957483,5.192604218377349,6.417824484833905,60.480925483203606,54.47319820633816,46.614690790752206,1.425654438876422,13.8662346924514
Pacific,4.8893391729980555,5.453849567744945,6.685157396688514,71.12708457765336,59.86697031982276,58.22125581326856,1.7958182236904587,12.9058287643848
