metro_status,political_party,contacts_adj_mean,contacts_adj_se,mask_adj_mean,mask_adj_se,vax_adj_mean,vax_adj_se
Metropolitan,Democrat,5.014774731713441,0.12064799945727032,67.43525451647385,0.6868528882769551,41.48704529404143,1.1470864768657656
Metropolitan,Independent,5.267435384177411,0.1597477452142148,57.431648332942274,0.9103137158363087,37.12688736754526,1.5307330693152823
Metropolitan,Republican,6.301803623009626,0.14467653456018426,58.1108209783435,0.7858755181745423,35.44845121932747,1.4174008022773865
Non-Metropolitan,Democrat,5.804434972458148,0.33242744859259854,55.58997861188486,1.8391368182116792,43.41987051550494,3.2428821967874164
Non-Metropolitan,Independent,6.904349636622175,0.3925586687846947,43.92186238127707,2.2343132882137167,21.59824277428435,3.7110615852823305
Non-Metropolitan,Republican,6.070347393630942,0.32446583341238944,48.91754066286124,1.7793708698712247,34.96119549740864,3.183223267044286
