STATE,political_party,contacts_adj_mean,mask_adj_mean,contacts_adj_se,mask_adj_se
Alabama,Democrat,14.89867843181457,68.57454698763249,1.7534865129776696,8.240392181673174
Alabama,Independent,7.8208306179296105,43.799037220455645,1.1361074620429077,6.966672048801562
Alabama,Republican,5.942748922966516,54.06033597761718,1.2285402945216537,6.725758722749378
Alaska,Democrat,7.250232089421413,52.53304747918547,6.033602534546935,31.580813790377924
Alaska,Independent,1.9346170789037629,34.15388261771522,4.3747190344697815,19.633063626036073
Alaska,Republican,5.617639457774457,27.995457834749608,3.811467092181537,19.056952089131656
Arizona,Democrat,4.884437061770591,61.32790409787489,0.48927131940488255,2.6486832963078197
Arizona,Independent,4.98917846449581,54.35695213049337,0.37741873099226386,2.0933538624103223
Arizona,Republican,6.234746843497675,50.75324444038375,0.4518126341630553,2.420911453818812
Arkansas,Democrat,4.911624905760023,85.09124270562883,1.6065589830231195,9.916906409505362
Arkansas,Independent,14.895633438800237,28.927627377613327,1.9268691827209434,9.472009192528056
Arkansas,Republican,2.444247107659197,20.617908786474416,2.0547645584758216,12.943113309919752
California,Democrat,4.769682400936664,73.38036984802447,0.34106814757189285,1.9057212679741615
California,Independent,5.359150501910195,63.37749177640886,0.36455965767744003,2.047449297036445
California,Republican,6.762561711789884,59.557994303561664,0.42799147155715744,2.193763304989304
Colorado,Democrat,4.729024213556637,48.85579725266779,1.6558720356222298,9.283021866760448
Colorado,Independent,4.691920276614482,49.50752573477973,1.1675594916247456,5.78561157047635
Colorado,Republican,8.901796912086176,37.40341193134463,1.4954579802754209,7.346824789688918
Connecticut,Democrat,3.8429086449903402,69.17251272097268,1.3473674374935354,7.289914564645673
Connecticut,Independent,5.279103828350264,61.26044902577155,1.1320095967665587,6.526873806738595
Connecticut,Republican,4.342283737535881,68.6648647249667,1.4833647396263774,8.967113930592204
Delaware,Democrat,3.7951786998331216,59.28428138653845,0.9880778626750707,5.244104240145039
Delaware,Independent,8.863781240068478,63.962729379602365,1.1084374317268786,6.159404884991812
Delaware,Republican,5.205352241586201,70.69687267344857,1.4591590133163255,7.8391499766974535
Florida,Democrat,5.796248193008051,71.5726986538446,0.7218296473770027,3.91023146380205
Florida,Independent,4.704020240819715,45.713823388697456,0.5605113651358422,3.008763874115112
Florida,Republican,6.400470217449456,60.70262892648095,0.6727416344741238,3.5322129505977697
Georgia,Democrat,5.250456081791418,55.444448692245984,0.4331779397654397,2.375754085657361
Georgia,Independent,6.194206829392278,47.82882744747722,0.3665251412820859,2.0278309039438622
Georgia,Republican,7.147090998848876,51.46866383744552,0.3601343618171861,1.852955394167529
Hawaii,Democrat,4.995650185303024,84.74801410484415,2.967534188053408,18.97628833304474
Hawaii,Independent,3.443135168656451,31.749125823114166,1.5360810872218298,10.837329587870608
Hawaii,Republican,3.278836043775247,98.86707930179898,2.76919101605943,16.80931016170494
Idaho,Democrat,2.3165312416925588,69.57408060066425,2.3093332850364288,17.51551219760839
Idaho,Independent,4.507698351153117,55.39425324249168,2.119701746676142,16.1417813313704
Idaho,Republican,4.177039259063127,17.438006209248314,2.5944610398973387,13.850288206545976
Illinois,Democrat,4.313955595815467,69.03715239978328,0.860465976446687,4.921989167489357
Illinois,Independent,6.471250947460582,45.87516123899527,0.8708023127714949,5.041549901783519
Illinois,Republican,6.542259937929453,62.1723550441544,0.9226011230579865,4.683843073743643
Indiana,Democrat,5.47356973867393,62.51096002531239,1.3774680168832667,7.132611884624408
Indiana,Independent,5.159340647598529,45.389301173847166,1.1209162119507383,5.9577200846860485
