wave,n,mean_inc_rate,effect_dem,effect_ind,effect_rep,se_dem,se_ind,se_rep,gap_change
1,2355,131.92283478668446,-0.02797040145142395,-0.01143121476639491,0.11852575260425886,0.0933863762437994,0.0952187285313927,0.09836016074092709,0.1464961540556828
2,2180,51.35234119916201,0.2283142314928358,0.02717106159082783,-0.029754094386917816,0.13244746017114015,0.16102471468807425,0.16715693462619807,-0.25806832587975365
3,3040,59.34983510620244,-0.4926526669402886,-1.0364756154207444,-1.1124331946053225,0.2319201792068711,0.2529296403442182,0.2649604724961381,-0.6197805276650339
4,2837,284.6132311767507,-0.100847188660099,0.862931690110748,0.08095345396639515,0.43782141543845926,0.4753569089863847,0.491697765976349,0.18180064262649415
5,2827,283.0493742831011,-0.04492322420192514,-0.3134287355868441,-0.3137992628242204,0.4591730487738725,0.5327747362760056,0.581827091888288,-0.26887603862229525
6,4994,72.40787024477974,-0.13273020260219642,0.24028170066561427,-0.30280433719796157,0.2097058402105233,0.2569471503749757,0.28249947015191307,-0.17007413459576515
