census_division,political_party,contacts_adj_mean,mask_adj_mean,contacts_adj_se,mask_adj_se
New England,Democrat,4.877193378751434,68.42693156440264,0.3508812012743909,2.0140110074304176
New England,Independent,5.9726170834199745,61.17373429438304,0.33396728775428136,1.8100740340762398
New England,Republican,5.806030166138665,59.607082945308306,0.4446768931339822,2.4168432418967765
Middle Atlantic,Democrat,5.141287516739741,69.77758774718416,0.21833859944076012,1.2058151997841648
Middle Atlantic,Independent,4.9907060646320565,63.85725726992128,0.33517705849502705,1.930133956782879
Middle Atlantic,Republican,6.343464563802571,61.513133037673434,0.2601459730274901,1.376433445237011
East North Central,Democrat,4.822344007138896,65.12977951303388,0.3997991086004231,2.229386346934974
East North Central,Independent,4.766644106944929,44.39860649282072,0.5177385111686138,2.912190348489267
East North Central,Republican,6.994675833250505,53.62127786216654,0.4439225931956141,2.3331069830363056
West North Central,Democrat,5.533063042848238,52.486540312032716,0.6597000207525882,3.5088995319501772
West North Central,Independent,8.240181499604477,41.608663178805394,0.7445449509455935,4.110712594322977
West North Central,Republican,5.72145006043414,38.65171102496976,0.7755596502546783,4.174038647920316
South Atlantic,Democrat,5.168694161258464,62.09198366456923,0.24853365072479375,1.3865367408752525
South Atlantic,Independent,5.649491660958257,48.354051263381564,0.31905926667946494,1.810539158351434
South Atlantic,Republican,6.450771427624545,54.724182738355005,0.26126406489088116,1.3902009815277176
East South Central,Democrat,9.407803786903044,50.570127318429115,0.6701076461460331,3.59719408131534
East South Central,Independent,6.69582593563587,41.150647285453886,0.7763633941863767,4.229739116579357
East South Central,Republican,6.014985687340766,53.56756708079487,0.5678689033581533,3.189120376349955
West South Central,Democrat,4.938657356692261,67.81370017071154,0.47905352692025077,2.645467592454374
West South Central,Independent,5.754289931230317,44.18170108215079,0.7282358617993183,4.060283123671711
West South Central,Republican,6.790776446521295,48.2823008789248,0.564826973155449,3.194882900333459
Mountain,Democrat,4.738334668059941,61.05389043279427,0.3567992196857744,1.9848519965285516
Mountain,Independent,4.900779961065434,54.544305687006926,0.404759523131904,2.274900040016007
Mountain,Republican,6.239865058704009,47.34075906892808,0.37537366509185466,2.054925173449106
Pacific,Democrat,4.64644176809511,71.97764385018911,0.2692249246621578,1.5259854944658167
Pacific,Independent,5.254313562286628,61.95286317911942,0.4057221727685748,2.322144904863109
Pacific,Republican,6.441602760886996,58.892792294054026,0.3763031325283628,1.9968194970182853
