metro_status,political_party,n,contacts_mean,contacts_se,mask_mean,mask_se,vax_mean,vax_se
Metropolitan,Democrat,7313,5.244485612280645,0.115214597621296,66.92054977970251,0.58379102763874,88.35729164055063,1.5535893224884447
Metropolitan,Independent,3882,5.455717250045191,0.1703709646261463,56.296660451779516,0.7885613962804007,75.28676066048533,2.495769562339671
Metropolitan,Republican,4601,6.489213881348592,0.21266833421541856,57.38152055517902,0.7948088839059504,72.08119801050474,2.537240980299116
Non-Metropolitan,Democrat,523,6.240129225802235,0.6137660939992398,54.65031820155585,2.0325832843094624,84.84855526217864,3.8666909346689113
Non-Metropolitan,Independent,346,7.364596117159891,1.0121456586735518,42.13880680955431,2.359794038698776,58.16755130863748,7.893307475031356
Non-Metropolitan,Republican,526,6.541277895065738,0.6150217930900708,47.76588242645849,2.1401404053069433,61.14858496547249,6.252665889141426
