wave,Democrat,Independent,Republican,concern_gap,concern_gap_ind
1,NA,NA,NA,NA,NA
2,65.88038985197677,51.41987754874644,44.19191074312256,21.68847910885421,14.460512303230331
3,69.43947198823336,50.70340359118158,47.27895354752816,22.160518440705204,18.73606839705178
4,74.98324452390273,50.652070463573104,50.90318304517447,24.080061478728254,24.331174060329623
5,69.0975069405043,47.512328720140665,42.26142718755859,26.836079752945714,21.585178220363638
6,55.38025157404498,37.226611194014474,30.945606334329405,24.43464523971558,18.15364038003051
