city,political_party,n,contacts_mean,contacts_se,mask_mean,mask_se
Atlanta,Democrat,649,5.364284161568079,0.3450405507078454,56.89841106604756,2.118512245554425
Atlanta,Independent,375,6.179589727075222,0.529342140631875,42.48346747063534,2.32227289780622
Atlanta,Republican,649,7.263648648889696,0.49860222402396503,50.11638456452128,2.204683662069097
Bay Area,Democrat,967,4.887281606602177,0.3278994447531648,71.80568389002724,1.4402325671493956
Bay Area,Independent,349,5.813810080020636,0.6217103521961915,58.02320185427925,2.7742330543693705
Bay Area,Republican,338,6.643820723479383,0.6466583535578084,58.68801147486733,3.1616923970073945
Boston,Democrat,652,4.888524607031776,0.3369411392404724,67.78075752773778,1.6859028350783336
Boston,Independent,687,6.298300048666266,0.5986488003407209,59.24713882067726,2.0316675608126444
Boston,Republican,316,6.21479548923293,0.6605808229632505,56.520079235301075,2.8985390469055243
NY,Democrat,905,5.225481194760173,0.33287806333556846,74.02516601722468,1.4666675124989632
NY,Independent,337,4.820081971919692,0.5190616535515178,65.51303446588497,2.3197152450330343
NY,Republican,456,6.0029033453350795,0.6105560997050222,66.2535657088532,2.5696902406970614
National,Democrat,3608,5.629047810058436,0.21007468684886782,64.2373156924281,0.8393633600347084
National,Independent,1935,5.6604174574499275,0.3242600807656787,49.82341126626163,1.1142016365687992
National,Republican,2713,6.577776125041,0.3151243812046939,53.493260654699334,1.0233598059896034
Philadelphia,Democrat,824,4.9444253878386455,0.2872310320224673,65.83727760622638,1.828732004175419
Philadelphia,Independent,363,5.981710844336663,0.5790530673638972,62.12133216757124,2.4150760889304674
Philadelphia,Republican,513,6.4417712191148375,0.6048300436259936,56.835756176482676,2.2340687299147475
Phoenix,Democrat,584,5.398236646327146,0.3360350192118821,61.24415636457441,2.409586333689315
Phoenix,Independent,481,5.094441870929679,0.41545291246149685,55.606249888128424,2.2701716437690975
Phoenix,Republican,532,6.6756145109695115,0.7153773989243184,51.777208953517714,2.216083948044572
