concern_level,political_party,contacts,nonhh_contacts,mask_usage,n
Less Concerned,Democrat,4.177777777777779,2.5746031746031757,49.81273408239699,315
Less Concerned,Independent,4.6984615384615385,3.0707692307692316,37.94871794871795,325
Less Concerned,Republican,4.288951841359772,2.6628895184135986,42.39631336405528,353
Very Concerned,Democrat,3.3290734824281154,1.7300319488817901,67.6948051948052,626
Very Concerned,Independent,3.9238754325259513,2.2076124567474054,62.60964912280702,289
Very Concerned,Republican,4.721577726218095,2.665893271461718,70.38369304556356,431
