census_region,contacts_adj_mean_Democrat,contacts_adj_mean_Independent,contacts_adj_mean_Republican,mask_adj_mean_Democrat,mask_adj_mean_Independent,mask_adj_mean_Republican,contacts_gap_rd,contacts_gap_id,mask_gap_dr,mask_gap_di
Northeast,5.077413809598061,5.491431212891046,6.2142403052637745,69.40897802938127,62.40928885589651,61.035811146654154,1.136826495665713,0.4140174032929842,8.37316688272712,6.999689173484761
Midwest,5.003784206394799,5.88466172105991,6.656321410355634,61.49194663850646,43.467034612584214,50.07416550013559,1.6525372039608355,0.8808775146651113,11.41778113837087,18.024912025922248
South,5.5321337316830395,5.783638695301696,6.423835938664576,61.9859606036821,46.797512555219996,53.68812672680926,0.8917022069815363,0.2515049636186566,8.297833876872843,15.188448048462106
West,4.679967932415053,5.07546155106643,6.337387034386034,67.91207827589871,58.16221582512386,53.28297951490607,1.657419101970981,0.39549361865137644,14.62909876099264,9.749862450774849
